app_id | labels
10|['strategy']
20|[]
30|[]
40|[]
50|[]
60|[]
70|[]
80|['strategy']
130|[]
220|[]
240|['strategy']
280|[]
300|['strategy']
320|[]
340|[]
360|[]
380|[]
400|['strategy']
420|[]
440|[]
500|[]
550|[]
570|['strategy']
620|['strategy']
630|['strategy']
730|['strategy']
1002|[]
1200|['strategy']
1250|[]
1300|[]
1309|[]
1313|[]
1500|['strategy']
1510|['strategy']
1520|['strategy']
1530|['strategy']
1600|['strategy']
1610|['strategy']
1630|['strategy']
1640|['strategy']
1670|['strategy']
1690|['strategy']
1700|[]
1840|[]
1900|['strategy']
1930|[]
2100|[]
2200|[]
2210|[]
2270|[]
2280|[]
2290|[]
2300|[]
2310|[]
2320|[]
2330|[]
2340|[]
2350|[]
2360|[]
2370|[]
2390|[]
2400|['strategy']
2420|[]
2450|[]
2500|[]
2520|[]
2540|[]
2570|[]
2590|[]
2600|[]
2610|[]
2620|[]
2630|[]
2640|[]
2700|['strategy']
2710|['strategy']
2720|['strategy']
2780|[]
2800|['strategy']
2810|['strategy']
2820|['strategy']
2840|['strategy']
2850|['strategy']
2870|['strategy']
2900|['strategy']
2910|['strategy']
2920|['strategy']
2990|['racing']
3010|['racing']
3020|[]
3050|['racing']
3130|['strategy']
3170|['strategy']
3230|['strategy']
3260|[]
3270|[]
3300|[]
3310|[]
3320|['strategy']
3330|[]
3340|[]
3350|[]
3360|[]
3380|[]
3390|[]
3400|[]
3410|[]
3420|[]
3430|[]
3440|[]
3450|[]
3460|[]
3480|[]
3483|[]
3490|[]
3500|[]
3510|[]
3520|[]
3530|[]
3540|[]
3560|['strategy']
3570|[]
3580|[]
3590|['strategy']
3600|[]
3610|[]
3620|[]
3700|[]
3710|[]
3720|['strategy']
3730|[]
3800|[]
3810|[]
3820|[]
3830|[]
3900|['strategy']
3910|['strategy']
3920|['strategy']
3960|['strategy']
3980|['strategy']
3990|['strategy']
4000|[]
4100|[]
4230|['racing']
4290|['racing']
4300|[]
4420|[]
4460|['strategy']
4470|[]
4500|[]
4520|['strategy']
4530|['strategy']
4560|['strategy']
4570|['strategy']
4580|['strategy']
4700|['strategy']
4720|[]
4760|['strategy']
4770|['strategy']
4780|['strategy']
4800|['strategy']
4850|['strategy']
4870|['strategy']
4880|['strategy']
4890|['strategy']
4900|[]
4920|['strategy']
6000|['strategy']
6010|[]
6020|[]
6030|[]
6040|[]
6060|['strategy']
6080|['racing', 'strategy']
6090|[]
6120|[]
6200|['strategy']
6210|['strategy']
6220|['racing']
6250|['strategy']
6270|['racing']
6300|[]
6310|[]
6370|[]
6400|['strategy']
6420|['strategy']
6510|[]
6550|[]
6600|[]
6800|['strategy']
6810|['strategy']
6830|['strategy']
6840|['strategy']
6850|[]
6860|['strategy']
6870|['strategy']
6880|[]
6900|[]
6910|[]
6920|[]
6980|[]
7000|[]
7010|[]
7020|[]
7110|[]
7200|['racing']
7210|[]
7220|[]
7260|[]
7340|[]
7510|[]
7520|[]
7530|['strategy']
7600|['strategy']
7610|['strategy']
7620|['strategy']
7650|['strategy']
7660|['strategy']
7670|[]
7730|['strategy']
7760|['strategy']
7770|['strategy']
7830|['strategy']
7840|['racing']
7860|[]
7940|[]
8000|[]
8080|[]
8100|[]
8140|[]
8170|['strategy']
8190|[]
8200|[]
8210|[]
8220|[]
8230|[]
8240|[]
8250|[]
8260|[]
8270|[]
8280|[]
8290|[]
8300|[]
8310|[]
8320|[]
8330|[]
8340|[]
8400|[]
8500|['strategy']
8600|['racing']
8790|['racing']
8800|['strategy']
