app_id | labels
1510|['_two_d', 'puzzle', 'simulation', 'strategy']
1520|['_two_d', 'simulation', 'strategy']
1530|['strategy']
1600|['simulation', 'strategy']
1610|['strategy']
1630|['rpg', 'strategy']
1640|['rpg', 'strategy']
1670|['simulation', 'strategy']
1690|['strategy']
1700|['rpg']
1840|['anime']
1900|['strategy']
1930|['rpg']
2100|['rpg']
2360|['rpg']
2400|['rpg', 'simulation', 'strategy']
2420|['rpg']
2540|['_two_d']
2570|['puzzle', 'rpg']
2600|['rpg']
2610|['rpg']
2630|['simulation']
2700|['simulation', 'strategy']
2710|['strategy']
2720|['strategy']
2780|['simulation']
2800|['simulation', 'strategy']
2810|['simulation', 'strategy']
2820|['simulation', 'strategy']
2840|['simulation', 'strategy']
2850|['simulation', 'strategy']
2870|['simulation', 'strategy']
2900|['simulation', 'strategy']
2910|['simulation', 'strategy']
2920|['simulation', 'strategy']
2990|['simulation']
3050|['simulation']
3130|['strategy']
3170|['rpg', 'strategy']
3230|['strategy']
3260|['puzzle']
3300|['puzzle']
3310|['puzzle']
3320|['simulation', 'strategy']
3330|['puzzle']
3340|['puzzle']
3350|['puzzle']
3380|['puzzle']
3440|['puzzle']
3460|['puzzle']
3480|['_two_d', 'puzzle']
3483|['puzzle']
3510|['puzzle']
3530|['puzzle']
3540|['_two_d', 'puzzle']
3560|['puzzle', 'strategy']
3590|['_two_d', 'puzzle', 'strategy']
3600|['puzzle']
3620|['puzzle']
3720|['simulation', 'strategy']
3900|['simulation', 'strategy']
3910|['simulation', 'strategy']
3920|['rpg', 'strategy']
3960|['strategy']
3980|['simulation', 'strategy']
3990|['strategy']
4000|['simulation']
4230|['simulation']
4290|['simulation']
4300|['puzzle']
4420|['rpg']
4460|['simulation', 'strategy']
4470|['rpg']
4500|['rpg']
4520|['strategy']
4530|['strategy']
4560|['simulation', 'strategy']
4570|['strategy']
4580|['strategy']
4700|['simulation', 'strategy']
4760|['simulation', 'strategy']
4770|['strategy']
4780|['strategy']
4800|['rpg', 'strategy']
4850|['strategy']
4870|['strategy']
4880|['strategy']
4890|['strategy']
4900|['puzzle']
4920|['strategy']
6000|['strategy']
6010|['_two_d']
6020|['rpg']
6060|['strategy']
6080|['simulation', 'strategy']
6120|['_two_d']
6200|['puzzle', 'simulation', 'strategy']
6210|['simulation', 'strategy']
6250|['strategy']
6270|['simulation']
6300|['rpg']
6310|['puzzle', 'rpg']
6370|['rpg']
6400|['strategy']
6420|['simulation', 'strategy']
6800|['strategy']
6810|['strategy']
6830|['strategy']
6840|['strategy']
6860|['puzzle', 'strategy']
6870|['simulation', 'strategy']
6910|['rpg']
6920|['rpg']
6980|['rpg']
7000|['puzzle']
7110|['rpg']
7210|['puzzle']
7260|['rpg']
7340|['puzzle']
7510|['anime', 'rpg']
